profile_id,age_group,gender,location,preferred_genre,average_listening_hours,device_type,music_service
176,35-44,Non-binary,Brazil,Hip-Hop,15.77,Desktop,YouTube Music
177,25-34,Non-binary,South Korea,Jazz,23.07,Desktop,Apple Music
178,18-24,Other,Canada,Metal,22.1,Desktop,Spotify
179,35-44,Female,UK,Hip-Hop,16.41,Mobile,Apple Music
180,45-54,Non-binary,UK,Pop,23.38,Mobile,YouTube Music
181,25-34,Non-binary,South Korea,Metal,12.21,Mobile,Amazon Music
182,35-44,Non-binary,Brazil,Rock,7.89,Tablet,YouTube Music
183,35-44,Male,Canada,Rock,28.28,Mobile,YouTube Music
184,18-24,Female,South Korea,Pop,12.78,Desktop,YouTube Music
185,18-24,Male,USA,Rock,18.14,Mobile,Spotify
186,18-24,Female,Canada,Metal,16.61,Desktop,Spotify
187,18-24,Non-binary,Canada,EDM,19.66,Mobile,Spotify
188,25-34,Male,Germany,Pop,13.77,Mobile,Amazon Music
189,45-54,Female,South Korea,Hip-Hop,19.76,Desktop,Apple Music
190,55+,Other,Brazil,Hip-Hop,12.64,Mobile,YouTube Music
191,55+,Male,Germany,EDM,24.52,Tablet,Apple Music
192,55+,Other,Germany,Jazz,21.55,Tablet,Spotify
193,18-24,Non-binary,USA,Metal,17.29,Tablet,Amazon Music
194,18-24,Male,UK,Pop,19.46,Tablet,YouTube Music
195,35-44,Female,Germany,Hip-Hop,28.84,Desktop,Spotify
196,35-44,Male,South Korea,Classical,27.28,Mobile,YouTube Music
197,18-24,Other,Japan,Jazz,5.17,Desktop,Apple Music
198,18-24,Non-binary,Germany,EDM,12.62,Desktop,YouTube Music
199,25-34,Non-binary,Brazil,Metal,5.77,Tablet,YouTube Music
200,35-44,Non-binary,Japan,Country,21.56,Mobile,Spotify
201,45-54,Male,India,Hip-Hop,10.36,Desktop,YouTube Music
202,55+,Female,Japan,Rock,14.64,Desktop,Amazon Music
203,45-54,Non-binary,South Korea,Jazz,23.84,Tablet,Apple Music
204,18-24,Non-binary,Canada,EDM,29.38,Desktop,Spotify
205,18-24,Female,South Korea,Classical,18.34,Mobile,Apple Music
206,55+,Other,UK,Hip-Hop,5.11,Desktop,Spotify
207,18-24,Non-binary,France,Country,14.75,Desktop,Apple Music
208,45-54,Female,Australia,Rock,16.57,Mobile,Amazon Music
209,18-24,Other,Japan,Jazz,7.91,Tablet,Amazon Music
210,55+,Non-binary,Australia,Rock,12.03,Tablet,Apple Music
211,25-34,Non-binary,UK,Country,8.64,Tablet,Apple Music
212,18-24,Female,USA,Classical,10.27,Desktop,Amazon Music
213,45-54,Non-binary,Japan,Metal,25.64,Desktop,Apple Music
214,55+,Other,Australia,Country,19.26,Tablet,Apple Music
215,45-54,Female,India,Hip-Hop,9.29,Desktop,YouTube Music
216,55+,Other,Canada,Classical,6.09,Desktop,Amazon Music
217,18-24,Female,Germany,Jazz,7.06,Desktop,YouTube Music
218,35-44,Other,France,Country,13.4,Desktop,Apple Music
219,18-24,Female,Canada,Classical,14.92,Desktop,Spotify
220,18-24,Female,India,EDM,5.78,Desktop,Amazon Music
221,25-34,Non-binary,Brazil,Jazz,14.17,Mobile,Apple Music
222,45-54,Non-binary,France,Pop,8.18,Tablet,Spotify
223,18-24,Female,Canada,Hip-Hop,29.82,Mobile,Apple Music
224,45-54,Female,Australia,Country,10.12,Mobile,Amazon Music
225,45-54,Non-binary,UK,Metal,5.63,Mobile,Apple Music
226,35-44,Other,Australia,Pop,6.19,Desktop,Spotify
227,55+,Non-binary,Canada,Metal,22.82,Tablet,Spotify
228,18-24,Other,Australia,EDM,9.86,Mobile,YouTube Music
229,35-44,Non-binary,Canada,Country,27.44,Tablet,Apple Music
230,55+,Female,Germany,Country,8.6,Mobile,Amazon Music
231,18-24,Other,Brazil,Classical,27.18,Mobile,Apple Music
232,55+,Female,USA,Pop,28.89,Mobile,Apple Music
233,25-34,Female,Japan,Classical,27.33,Desktop,Amazon Music
234,25-34,Female,UK,Classical,26.82,Tablet,Spotify
235,18-24,Other,France,Jazz,13.43,Desktop,Spotify
236,35-44,Non-binary,USA,Pop,27.34,Desktop,YouTube Music
237,18-24,Female,Brazil,EDM,27.6,Desktop,Spotify
238,45-54,Other,Japan,Metal,27.09,Mobile,Amazon Music
239,45-54,Non-binary,Japan,Classical,7.51,Tablet,Apple Music
240,18-24,Non-binary,Brazil,EDM,10.77,Tablet,YouTube Music
241,35-44,Male,France,Hip-Hop,18.43,Desktop,Apple Music
242,25-34,Non-binary,Germany,Metal,18.59,Desktop,Amazon Music
243,18-24,Non-binary,India,Pop,22.58,Tablet,YouTube Music
244,45-54,Non-binary,Brazil,Hip-Hop,17.03,Desktop,Amazon Music
245,18-24,Non-binary,France,EDM,9.89,Tablet,YouTube Music
246,45-54,Female,India,Jazz,10.7,Mobile,Spotify
247,35-44,Other,Germany,Rock,27.98,Mobile,YouTube Music
248,45-54,Other,USA,Classical,25.37,Mobile,Spotify
249,35-44,Other,Australia,Metal,14.98,Desktop,Apple Music
250,18-24,Female,Canada,Country,29.29,Mobile,Amazon Music
251,55+,Non-binary,Australia,Classical,16.37,Desktop,Amazon Music
252,35-44,Non-binary,USA,Rock,23.48,Tablet,YouTube Music
253,35-44,Male,Brazil,Jazz,23.58,Desktop,Amazon Music
254,45-54,Male,India,Jazz,26.33,Tablet,YouTube Music
255,45-54,Non-binary,Germany,Hip-Hop,22.47,Mobile,YouTube Music
256,25-34,Non-binary,India,Classical,25.39,Desktop,Spotify
257,35-44,Female,Japan,Pop,21.09,Desktop,YouTube Music
258,35-44,Other,Australia,Metal,7.63,Mobile,YouTube Music
259,25-34,Other,Brazil,Country,26.17,Tablet,Spotify
260,35-44,Female,USA,Hip-Hop,9.52,Tablet,Apple Music
261,25-34,Male,Canada,Country,11.61,Desktop,Spotify
262,35-44,Female,Germany,Classical,20.19,Mobile,YouTube Music
263,18-24,Female,France,EDM,21.55,Desktop,Spotify
264,35-44,Other,Brazil,Metal,20.38,Tablet,YouTube Music
265,45-54,Male,Germany,Metal,19.58,Mobile,Spotify
266,25-34,Male,UK,Rock,9.98,Desktop,YouTube Music
267,18-24,Male,UK,Metal,11.71,Mobile,YouTube Music
268,25-34,Female,France,Hip-Hop,22.91,Tablet,Amazon Music
269,45-54,Non-binary,India,EDM,25.22,Desktop,YouTube Music
270,18-24,Non-binary,France,Classical,13.08,Mobile,Amazon Music
271,55+,Female,France,Pop,19.49,Tablet,Apple Music
272,45-54,Non-binary,Germany,Classical,11.06,Desktop,Spotify
273,45-54,Other,Canada,Jazz,25.08,Tablet,YouTube Music
274,45-54,Non-binary,USA,Country,15.98,Mobile,Spotify
275,35-44,Other,Brazil,Hip-Hop,18.39,Mobile,Amazon Music
276,45-54,Other,Australia,Country,22.27,Mobile,YouTube Music
277,35-44,Male,India,Pop,18.49,Desktop,YouTube Music
278,18-24,Other,Germany,Classical,18.7,Desktop,YouTube Music
279,25-34,Non-binary,Brazil,Rock,21.81,Mobile,Amazon Music
280,18-24,Other,UK,Classical,27.52,Desktop,Amazon Music
281,55+,Non-binary,USA,Hip-Hop,10.49,Tablet,Spotify
282,25-34,Other,India,Metal,10.85,Tablet,YouTube Music
283,45-54,Non-binary,Australia,Classical,23.95,Tablet,YouTube Music
284,55+,Non-binary,Brazil,Jazz,25.03,Mobile,Spotify
285,18-24,Non-binary,Canada,Classical,29.72,Desktop,Spotify
286,55+,Female,Germany,Pop,21.58,Desktop,Spotify
287,55+,Other,Australia,EDM,27.43,Tablet,Apple Music
288,18-24,Male,Australia,Metal,27.52,Desktop,Spotify
289,55+,Other,Canada,Country,11.79,Desktop,Amazon Music
290,55+,Female,Canada,EDM,16.62,Mobile,Amazon Music
291,45-54,Male,UK,Hip-Hop,13.02,Desktop,Spotify
292,18-24,Female,Australia,Rock,13.31,Mobile,Apple Music
293,25-34,Non-binary,France,Classical,20.92,Mobile,YouTube Music
294,25-34,Other,UK,Rock,9.32,Desktop,Apple Music
295,55+,Female,India,Jazz,12.16,Tablet,Apple Music
296,45-54,Non-binary,India,Jazz,10.75,Tablet,Apple Music
297,35-44,Other,Germany,Pop,9.63,Tablet,Spotify
298,55+,Non-binary,USA,Metal,11.17,Tablet,Amazon Music
299,55+,Female,South Korea,Jazz,18.7,Tablet,Apple Music
300,45-54,Non-binary,Canada,Classical,19.22,Mobile,YouTube Music
301,45-54,Non-binary,Canada,Metal,11.33,Mobile,YouTube Music
302,35-44,Male,UK,Jazz,12.64,Desktop,YouTube Music
303,18-24,Male,UK,EDM,25.19,Tablet,Apple Music
304,25-34,Female,India,Jazz,6.3,Tablet,YouTube Music
305,55+,Female,South Korea,Pop,17.0,Tablet,Apple Music
306,18-24,Non-binary,Germany,Rock,10.7,Mobile,Amazon Music
307,55+,Female,UK,EDM,29.53,Mobile,Amazon Music
308,45-54,Male,Germany,Rock,16.35,Mobile,Amazon Music
309,25-34,Other,USA,Rock,21.83,Mobile,Spotify
310,35-44,Non-binary,Japan,Jazz,26.5,Mobile,Spotify
311,55+,Female,Japan,Jazz,17.87,Mobile,Spotify
312,35-44,Non-binary,Germany,EDM,10.23,Tablet,Amazon Music
313,45-54,Non-binary,Canada,Hip-Hop,29.83,Mobile,Amazon Music
314,25-34,Non-binary,India,Rock,24.36,Desktop,YouTube Music
315,35-44,Female,USA,Classical,21.89,Tablet,Spotify
316,45-54,Male,France,Metal,27.56,Mobile,YouTube Music
317,45-54,Male,India,Metal,28.1,Desktop,Apple Music
318,25-34,Male,Japan,Jazz,17.12,Desktop,Amazon Music
319,18-24,Non-binary,Australia,Pop,24.34,Desktop,Amazon Music
320,55+,Male,USA,Country,13.94,Mobile,Spotify
321,45-54,Non-binary,Australia,Pop,7.42,Desktop,Amazon Music
322,35-44,Male,South Korea,Country,27.1,Mobile,Amazon Music
323,18-24,Female,UK,Jazz,25.22,Desktop,Amazon Music
324,18-24,Male,Germany,Metal,26.04,Mobile,Spotify
325,18-24,Male,France,Jazz,28.58,Mobile,Apple Music
326,45-54,Female,South Korea,Country,18.61,Desktop,Apple Music
327,18-24,Non-binary,USA,Metal,27.83,Tablet,Amazon Music
328,45-54,Other,USA,Metal,29.05,Desktop,Apple Music
329,35-44,Male,Canada,Classical,26.87,Desktop,Spotify
330,45-54,Other,USA,Classical,9.35,Tablet,YouTube Music
331,18-24,Other,India,Rock,6.63,Mobile,YouTube Music
332,55+,Other,South Korea,Classical,25.03,Desktop,Spotify
333,45-54,Non-binary,Germany,Classical,6.01,Mobile,Apple Music
334,35-44,Non-binary,UK,Rock,11.73,Mobile,YouTube Music
335,45-54,Female,South Korea,Metal,17.64,Mobile,Spotify
336,25-34,Other,Japan,Metal,20.74,Desktop,Amazon Music
337,45-54,Female,Germany,Classical,9.64,Mobile,Apple Music
338,45-54,Female,France,Jazz,8.44,Mobile,Amazon Music
339,18-24,Other,Japan,Metal,6.13,Mobile,YouTube Music
340,35-44,Non-binary,Japan,Jazz,23.46,Desktop,Amazon Music
341,55+,Non-binary,India,Hip-Hop,24.12,Mobile,Spotify
342,35-44,Other,Australia,Rock,17.09,Tablet,Spotify
343,45-54,Other,USA,Pop,13.06,Desktop,Spotify
344,18-24,Other,Brazil,Metal,21.35,Desktop,Spotify
345,35-44,Non-binary,Brazil,Country,25.04,Desktop,YouTube Music
346,18-24,Female,India,Rock,18.82,Tablet,Apple Music
347,55+,Non-binary,Brazil,Metal,26.39,Tablet,Spotify
348,35-44,Other,France,Hip-Hop,10.25,Mobile,Spotify
349,25-34,Non-binary,France,Pop,19.98,Desktop,Spotify
350,35-44,Male,India,Metal,21.53,Desktop,Apple Music
351,55+,Female,South Korea,Pop,11.68,Desktop,Amazon Music
352,25-34,Other,UK,Metal,29.29,Desktop,Spotify
353,45-54,Female,USA,Rock,9.46,Mobile,Spotify
354,25-34,Male,UK,Rock,17.2,Tablet,Apple Music
355,25-34,Female,Germany,Rock,20.84,Desktop,Spotify
356,55+,Non-binary,South Korea,Pop,15.08,Tablet,Amazon Music
357,35-44,Male,Australia,Rock,14.2,Desktop,Spotify
358,25-34,Female,Japan,Classical,24.0,Tablet,Apple Music
359,25-34,Non-binary,South Korea,Rock,13.08,Tablet,Apple Music
360,55+,Non-binary,Brazil,Rock,12.56,Tablet,YouTube Music
361,18-24,Other,Brazil,EDM,6.3,Tablet,Amazon Music
362,18-24,Other,South Korea,Rock,15.25,Tablet,YouTube Music
363,25-34,Non-binary,Japan,EDM,23.63,Tablet,Amazon Music
364,18-24,Other,UK,Country,26.91,Desktop,Spotify
365,35-44,Male,USA,Rock,22.95,Desktop,Amazon Music
366,35-44,Male,India,Classical,7.65,Mobile,YouTube Music
367,35-44,Male,India,Country,11.7,Tablet,Apple Music
368,45-54,Male,Canada,Jazz,9.23,Desktop,YouTube Music
369,35-44,Other,Brazil,Rock,9.09,Mobile,Amazon Music
370,25-34,Non-binary,Germany,Jazz,25.07,Mobile,Amazon Music
371,55+,Other,USA,Country,8.44,Desktop,Apple Music
372,25-34,Non-binary,UK,Metal,26.69,Desktop,Amazon Music
373,18-24,Female,UK,EDM,5.82,Mobile,Spotify
374,45-54,Non-binary,Brazil,EDM,7.51,Tablet,Spotify
375,35-44,Male,Australia,Metal,16.17,Tablet,Spotify
376,25-34,Other,Germany,Pop,6.4,Desktop,Apple Music
377,35-44,Male,India,Country,26.83,Tablet,YouTube Music
378,35-44,Non-binary,South Korea,Jazz,7.17,Mobile,Amazon Music
379,25-34,Other,Germany,Jazz,15.15,Tablet,YouTube Music
380,18-24,Female,Canada,Hip-Hop,5.18,Desktop,Spotify
381,55+,Other,Japan,Pop,16.56,Mobile,Spotify
382,18-24,Female,UK,Classical,20.2,Mobile,Amazon Music
383,25-34,Male,France,Pop,13.94,Tablet,Apple Music
384,55+,Non-binary,Brazil,Pop,5.47,Mobile,Spotify
385,55+,Other,Canada,Rock,15.91,Desktop,Spotify
386,55+,Male,Germany,Classical,17.66,Mobile,Spotify
387,55+,Non-binary,France,Hip-Hop,10.85,Mobile,Amazon Music
388,18-24,Other,UK,Rock,12.66,Tablet,Spotify
389,18-24,Female,USA,EDM,7.48,Tablet,YouTube Music
390,35-44,Male,Japan,EDM,10.27,Tablet,YouTube Music
391,35-44,Non-binary,Canada,EDM,18.19,Mobile,YouTube Music
392,18-24,Non-binary,USA,Classical,12.73,Desktop,Spotify
393,25-34,Other,Australia,Rock,8.7,Desktop,YouTube Music
394,18-24,Non-binary,Japan,Pop,13.3,Tablet,YouTube Music
395,55+,Non-binary,USA,Rock,11.49,Tablet,Spotify
396,18-24,Male,USA,Hip-Hop,22.26,Mobile,Apple Music
397,35-44,Other,Brazil,Pop,6.04,Tablet,Amazon Music
398,45-54,Female,UK,Metal,8.52,Desktop,Amazon Music
399,18-24,Male,Canada,Jazz,25.01,Mobile,Amazon Music
400,45-54,Other,South Korea,Pop,17.14,Desktop,Amazon Music
401,55+,Female,India,Pop,12.38,Desktop,Spotify
402,18-24,Female,India,Hip-Hop,23.03,Desktop,Spotify
403,45-54,Non-binary,Australia,Jazz,26.19,Mobile,YouTube Music
404,25-34,Non-binary,South Korea,Classical,21.73,Tablet,Apple Music
405,55+,Non-binary,India,Pop,13.22,Mobile,Spotify
406,35-44,Other,Germany,EDM,5.08,Tablet,YouTube Music
407,45-54,Other,Canada,Jazz,19.51,Mobile,Spotify
408,25-34,Female,Canada,Metal,25.81,Desktop,Spotify
409,25-34,Non-binary,Australia,Rock,24.89,Desktop,Amazon Music
410,18-24,Male,Japan,Pop,9.19,Mobile,Apple Music
411,45-54,Male,Australia,Country,5.96,Desktop,Amazon Music
412,25-34,Female,India,Metal,19.89,Tablet,Amazon Music
413,35-44,Other,UK,Rock,14.21,Desktop,YouTube Music
414,55+,Other,Brazil,Rock,6.7,Desktop,Amazon Music
415,55+,Male,South Korea,EDM,17.05,Tablet,YouTube Music
416,35-44,Non-binary,UK,Metal,29.69,Desktop,Apple Music
417,25-34,Male,France,Jazz,27.48,Mobile,Spotify
418,45-54,Male,Brazil,EDM,22.4,Desktop,YouTube Music
419,45-54,Female,France,Pop,28.44,Mobile,YouTube Music
420,25-34,Other,Germany,Pop,27.64,Tablet,Amazon Music
421,18-24,Other,Canada,Classical,16.43,Desktop,Spotify
422,18-24,Male,USA,Rock,12.47,Mobile,YouTube Music
