engagement_id,profile_id,artist_id,streams,likes,shares,comments,time_spent_on_artist,date
76,4639,45,47,46,15,9,36.89,2024-01-06
77,3741,21,26,34,7,4,50.05,2024-07-15
78,4024,5,82,10,1,0,149.91,2024-01-20
79,3141,24,94,33,19,4,53.28,2024-08-01
80,3154,6,75,43,18,5,110.1,2024-09-30
81,264,19,91,16,11,0,80.5,2024-07-04
82,1130,20,39,10,15,4,74.9,2024-09-08
83,3689,50,36,6,12,0,25.89,2024-03-04
84,2328,36,69,28,2,8,197.23,2024-09-20
85,4421,35,47,30,16,6,142.03,2024-08-28
86,3062,16,20,33,1,6,121.54,2024-10-01
87,2962,28,74,3,3,1,156.03,2024-06-29
88,3422,5,37,2,18,5,66.3,2024-09-24
89,3187,14,13,9,19,6,55.56,2024-10-12
90,2235,21,65,37,2,0,150.31,2024-07-22
91,2574,21,83,6,10,1,24.48,2024-07-18
92,4832,26,71,30,8,2,42.26,2024-07-06
93,4852,18,54,39,13,2,13.41,2024-05-16
94,1890,33,94,27,13,3,140.59,2024-08-05
95,3444,26,76,0,7,7,142.14,2024-08-10
96,1831,31,38,17,3,6,88.31,2024-06-07
97,4894,9,23,16,16,8,102.23,2024-07-18
98,1170,5,63,9,7,9,143.24,2024-10-30
99,702,30,93,42,16,1,143.0,2024-03-25
100,326,29,41,18,9,2,187.31,2024-03-18
101,4309,28,27,16,11,8,80.49,2024-10-01
102,4078,49,80,45,7,5,109.93,2024-07-25
103,933,12,1,11,13,9,32.02,2024-05-24
104,3157,49,94,29,14,9,195.85,2024-01-05
105,133,4,56,18,4,2,188.56,2024-10-24
106,903,31,32,0,4,6,16.29,2024-03-08
107,2424,1,24,12,16,5,144.37,2024-05-05
108,744,28,65,36,10,4,130.87,2024-04-09
109,1053,41,29,17,7,7,195.58,2024-03-15
110,2769,19,20,32,15,2,35.52,2024-09-21
111,384,18,48,9,15,5,149.96,2024-07-31
112,359,41,9,42,10,7,107.21,2024-01-27
113,3294,10,70,5,1,1,81.64,2024-04-19
114,3692,20,17,30,19,3,126.14,2024-03-24
115,55,7,26,39,17,1,41.6,2024-07-05
116,4197,33,18,8,4,6,186.78,2024-04-03
117,4626,5,61,27,1,9,13.85,2024-04-19
118,1408,44,70,35,3,3,100.22,2024-01-23
119,2187,41,47,3,19,4,117.68,2024-05-16
120,4246,26,77,45,17,0,59.37,2024-06-25
121,459,9,43,28,1,1,160.76,2024-03-29
122,4782,29,42,0,15,3,28.26,2024-05-01
123,4417,34,10,9,15,4,166.01,2024-08-13
124,3647,29,12,27,7,6,154.66,2024-09-23
125,3382,31,62,47,14,7,188.84,2024-05-26
126,3824,44,26,27,2,2,81.67,2024-09-01
127,3130,23,14,10,6,4,172.29,2024-01-15
128,1331,4,92,32,4,4,43.43,2024-04-10
129,3290,6,48,27,2,4,130.42,2024-01-07
130,1064,6,48,47,8,8,92.8,2024-09-02
131,1697,8,35,28,8,3,55.38,2024-04-27
132,603,10,24,31,0,9,117.54,2024-07-13
133,374,38,28,3,12,4,135.91,2024-09-30
134,1720,39,48,1,10,2,181.21,2024-10-10
135,4075,39,50,43,2,3,178.1,2024-08-25
136,479,13,36,19,6,1,96.15,2024-08-27
137,4318,16,77,47,3,0,12.23,2024-08-05
138,4883,26,11,19,17,2,31.25,2024-04-11
139,2422,12,88,1,3,2,40.53,2024-10-25
140,4640,12,49,43,11,0,131.93,2024-05-19
141,449,25,58,24,5,3,191.97,2024-04-11
142,4560,36,12,26,11,2,104.43,2024-01-19
143,4199,36,77,12,6,0,194.95,2024-08-27
144,3495,47,85,40,16,8,138.52,2024-07-15
145,1479,36,22,20,10,6,192.45,2024-07-16
146,4412,21,63,1,8,9,17.85,2024-06-03
147,3478,35,58,30,16,1,27.31,2024-09-16
148,3681,49,62,42,14,9,106.9,2024-04-16
149,1632,18,51,4,8,3,185.74,2024-05-06
150,3781,1,90,13,15,0,163.25,2024-05-23
151,642,5,99,22,9,2,100.82,2024-04-04
152,1814,36,42,6,7,3,122.72,2024-03-20
153,2204,13,12,43,8,5,172.8,2024-05-16
154,659,35,32,29,12,0,19.7,2024-03-24
155,4580,8,47,25,3,4,15.46,2024-03-29
156,1392,21,15,34,11,6,18.01,2024-01-19
157,850,8,58,4,14,2,196.18,2024-07-08
158,652,48,15,19,4,1,59.43,2024-10-14
159,1057,3,34,9,16,7,183.1,2024-07-17
160,3078,19,38,41,11,7,89.56,2024-10-05
161,3131,8,51,40,2,7,83.62,2024-06-11
162,1844,14,38,43,6,5,186.03,2024-06-26
163,941,16,6,16,0,5,192.4,2024-08-18
164,957,35,89,48,1,2,91.93,2024-05-05
165,3009,10,44,6,12,3,132.16,2024-10-25
166,986,41,13,4,11,6,115.82,2024-01-03
167,2454,45,19,20,0,9,56.38,2024-04-13
168,2180,23,22,49,13,1,26.25,2024-09-19
169,276,43,27,8,11,9,111.85,2024-10-17
170,2635,38,66,5,0,7,105.24,2024-03-20
171,94,27,31,18,0,1,134.69,2024-05-12
172,2305,2,98,29,6,2,12.46,2024-08-31
173,445,21,25,47,0,9,24.0,2024-06-12
174,4115,9,69,47,6,3,196.87,2024-05-03
175,85,34,14,24,2,8,26.52,2024-07-25
176,1789,49,58,17,15,5,29.95,2024-02-23
177,2881,48,78,39,15,6,181.77,2024-09-04
178,1590,3,4,5,10,3,180.0,2024-03-28
179,702,28,15,17,9,8,144.36,2024-02-18
180,897,19,36,10,1,2,45.11,2024-08-16
181,948,25,94,22,14,3,184.95,2024-03-16
182,2715,27,17,46,6,8,76.91,2024-01-26
183,3302,6,23,46,18,5,179.75,2024-07-04
184,3302,34,94,28,10,2,190.6,2024-01-26
185,4526,16,38,26,0,4,71.39,2024-11-05
186,2911,41,20,11,1,9,84.4,2024-09-10
187,1126,39,12,30,2,2,178.96,2024-01-21
188,1312,37,95,39,19,4,11.12,2024-05-30
189,785,30,80,4,4,0,122.79,2024-10-27
190,1955,16,72,26,18,1,50.92,2024-06-07
191,2865,16,74,48,15,8,11.85,2024-07-29
192,2116,34,43,31,10,7,165.3,2024-08-22
193,870,24,24,41,12,1,75.98,2024-02-01
194,3850,35,84,46,7,5,137.53,2024-01-14
195,2276,50,81,40,11,7,143.43,2024-06-25
196,3671,18,33,24,5,8,72.82,2024-04-23
197,3034,34,76,46,13,8,197.91,2024-04-17
198,109,13,56,26,12,2,53.41,2024-01-10
199,1900,1,44,8,2,3,144.73,2024-04-11
200,2915,16,5,20,17,2,139.12,2024-05-10
201,2329,27,92,47,15,8,28.55,2024-07-16
202,1350,39,83,38,6,7,76.78,2024-04-06
203,1802,10,94,8,7,4,86.44,2024-06-05
204,4547,4,55,42,18,6,95.39,2024-10-02
205,894,45,47,28,17,1,51.89,2024-03-29
206,2708,40,57,18,16,8,152.94,2024-10-21
207,4251,40,40,42,17,1,28.92,2024-09-21
208,1228,21,91,2,11,4,188.28,2024-08-20
209,2867,22,87,17,6,9,70.86,2024-04-25
210,3041,32,91,21,14,2,185.45,2024-04-05
211,1743,48,99,1,12,6,138.42,2024-10-01
212,3035,2,36,42,6,6,167.43,2024-09-08
213,646,8,84,39,9,2,115.59,2024-07-17
214,17,19,92,11,9,4,91.79,2024-01-15
215,3121,6,23,38,0,0,39.78,2024-08-27
216,721,49,32,2,11,9,161.06,2024-09-12
217,1754,2,72,16,1,2,32.68,2024-04-07
218,3991,46,62,15,12,0,44.07,2024-07-05
219,1965,35,79,7,8,9,95.89,2024-08-28
220,1989,20,31,43,18,8,20.53,2024-01-29
221,2425,49,77,9,17,3,57.48,2024-10-12
222,1781,34,30,13,1,7,184.06,2024-07-31
223,3974,21,33,43,11,0,165.44,2024-09-28
224,906,24,48,41,11,1,182.8,2024-01-04
225,776,43,87,6,7,9,147.7,2024-10-13
226,618,14,64,17,14,6,167.57,2024-06-09
227,4623,41,83,48,2,3,127.02,2024-02-10
228,293,6,26,17,2,5,99.32,2024-06-05
229,847,43,82,30,3,9,97.83,2024-04-23
230,239,22,56,46,4,3,29.43,2024-02-22
231,3792,28,83,7,12,2,78.71,2024-07-02
232,996,27,91,31,15,8,99.73,2024-02-26
233,4997,48,63,13,12,6,175.89,2024-05-24
234,3647,10,81,29,5,1,89.44,2024-09-08
235,999,40,89,4,8,9,96.9,2024-10-19
236,1954,36,71,23,5,7,179.23,2024-08-15
237,1713,46,58,43,13,1,156.71,2024-01-11
238,3597,36,2,15,17,5,134.2,2024-04-25
239,827,15,19,36,4,1,147.97,2024-04-17
240,2261,11,67,29,11,5,193.46,2024-06-28
241,1671,36,56,19,15,5,137.12,2024-07-18
242,415,39,16,29,8,7,195.59,2024-10-31
243,4684,44,83,23,12,1,17.43,2024-05-21
244,4891,48,4,0,3,8,126.35,2024-03-05
245,3550,8,68,19,1,5,135.99,2024-09-05
246,1479,35,69,4,16,0,192.16,2024-07-15
247,159,46,65,40,17,4,73.91,2024-07-15
248,1247,32,95,29,4,1,63.91,2024-07-09
249,3996,48,97,0,14,9,62.07,2024-10-18
250,3871,22,88,42,15,6,96.67,2024-04-09
251,3245,47,38,6,15,0,155.08,2024-09-14
252,268,41,10,32,17,6,29.29,2024-01-01
253,1109,20,66,4,13,2,133.66,2024-02-12
254,2302,34,68,49,1,7,53.03,2024-01-15
255,643,14,80,8,6,9,72.07,2024-11-03
256,3499,31,93,13,0,5,72.66,2024-04-21
257,3493,25,20,7,0,8,134.46,2024-05-10
258,875,7,34,36,0,6,41.18,2024-04-03
259,3763,30,74,43,13,3,128.0,2024-02-02
260,2280,36,65,45,7,8,58.16,2024-05-14
261,3109,42,27,19,18,6,62.02,2024-10-15
262,2962,47,67,27,13,7,112.68,2024-08-11
263,2154,44,65,6,10,3,61.45,2024-02-26
264,51,26,77,32,10,6,91.19,2024-09-12
265,3573,3,58,27,10,4,159.04,2024-09-08
266,868,41,84,40,15,2,170.07,2024-02-13
267,2327,39,77,8,0,1,103.48,2024-09-13
268,4835,47,52,24,7,9,70.19,2024-01-07
269,4177,23,21,30,17,5,155.06,2024-09-01
270,1945,16,37,24,5,9,174.37,2024-01-13
271,1437,38,28,38,11,4,191.84,2024-01-27
272,537,23,68,12,19,1,58.4,2024-04-11
273,1256,9,43,45,4,9,168.79,2024-04-22
274,774,46,26,47,1,6,99.13,2024-03-04
275,1953,40,93,48,16,9,56.21,2024-07-11
276,2793,41,91,47,4,7,96.86,2024-05-18
277,1707,22,80,2,6,4,21.92,2024-05-12
278,3476,32,61,34,18,9,98.27,2024-04-14
279,793,21,13,34,10,8,59.54,2024-07-31
280,3089,10,30,29,1,8,23.93,2024-09-29
281,1435,35,6,20,11,1,37.91,2024-04-02
282,1689,21,17,9,7,5,163.26,2024-09-02
283,2599,11,8,24,17,7,64.86,2024-07-28
284,3032,28,41,46,1,2,185.61,2024-07-30
285,4037,43,2,24,2,7,186.82,2024-08-08
286,2007,38,37,30,2,7,22.0,2024-02-16
287,571,4,74,38,7,2,152.22,2024-01-18
288,1848,48,71,20,7,3,159.95,2024-03-26
289,4921,44,77,8,9,5,139.84,2024-09-13
290,4710,37,13,9,4,2,148.01,2024-02-11
291,1957,48,40,22,14,3,140.29,2024-04-08
292,595,13,45,26,4,5,32.17,2024-07-17
293,2549,45,95,24,14,2,100.4,2024-10-18
294,3794,19,87,42,0,5,170.43,2024-03-02
295,1905,49,98,26,6,8,159.38,2024-07-28
296,250,7,62,27,13,9,11.33,2024-03-03
297,466,32,13,43,19,1,155.51,2024-04-26
298,3865,40,83,2,3,2,43.44,2024-09-13
299,983,16,24,2,17,7,67.05,2024-06-10
300,4237,4,12,8,9,9,173.21,2024-05-14
301,1498,15,47,20,3,4,36.49,2024-10-10
302,440,4,66,6,14,7,125.09,2024-01-18
303,2458,9,99,16,2,2,40.65,2024-05-19
304,1286,38,23,15,3,9,78.13,2024-06-18
305,2488,26,27,39,15,1,31.86,2024-04-11
306,4265,48,43,47,6,0,66.67,2024-02-10
307,2427,39,17,27,16,1,95.01,2024-06-19
308,1439,38,56,25,14,1,149.07,2024-02-01
309,1259,14,45,10,13,1,38.71,2024-06-09
310,1023,1,60,20,12,2,163.75,2024-05-12
311,747,4,52,5,13,3,131.87,2024-07-27
312,3029,43,75,6,6,9,25.57,2024-06-19
313,4657,28,83,9,7,6,51.8,2024-04-28
314,2,21,56,4,15,9,145.88,2024-01-23
315,4645,11,11,8,10,3,87.9,2024-05-24
316,2527,27,56,36,9,9,85.62,2024-06-30
317,4701,18,60,12,15,5,175.71,2024-02-01
318,2577,13,22,31,10,5,138.56,2024-07-02
319,4609,13,11,18,16,6,98.52,2024-10-01
320,4066,22,16,14,7,6,157.69,2024-07-28
321,336,29,40,45,17,6,120.57,2024-05-21
322,3661,44,26,2,6,4,56.97,2024-04-11
323,984,28,20,2,14,0,35.41,2024-03-19
324,4701,39,78,13,17,5,140.4,2024-06-30
325,4867,7,52,3,7,8,16.78,2024-11-01
326,3328,10,56,19,9,4,102.52,2024-01-21
327,4330,2,98,49,0,3,57.7,2024-05-20
328,253,33,26,28,3,3,89.13,2024-11-03
329,4878,17,16,21,14,2,148.95,2024-08-10
330,203,24,20,33,4,9,143.38,2024-10-05
331,920,37,21,13,18,2,189.79,2024-04-08
332,1739,15,93,41,12,9,114.18,2024-04-09
333,791,34,5,45,19,4,191.51,2024-07-08
334,1303,39,20,32,15,8,199.4,2024-08-31
335,998,10,88,41,5,4,146.55,2024-04-20
336,1030,6,25,23,4,3,138.97,2024-04-11
337,3081,5,27,17,7,4,97.75,2024-09-24
338,3649,29,6,32,6,5,185.33,2024-06-30
339,3184,23,91,42,9,1,180.13,2024-05-09
340,3305,9,96,18,9,5,187.39,2024-09-27
341,4671,49,40,26,5,3,84.27,2024-04-26
342,4675,26,98,43,4,0,110.25,2024-08-16
343,4180,26,88,20,3,3,83.93,2024-08-06
344,1899,20,90,3,5,2,54.91,2024-05-26
345,2872,30,38,42,5,7,131.57,2024-03-30
346,1319,20,37,37,7,0,58.08,2024-05-22
347,2980,33,40,12,19,1,22.11,2024-03-05
348,541,24,30,42,2,7,26.37,2024-08-29
349,778,32,69,27,17,3,182.93,2024-04-12
350,774,18,64,25,10,6,188.71,2024-08-11
351,4820,7,20,45,7,7,34.12,2024-03-28
352,1035,40,21,27,2,8,66.34,2024-02-07
353,3754,7,68,21,17,5,89.35,2024-05-09
354,828,30,67,9,11,7,32.26,2024-06-07
355,3588,33,4,28,0,0,188.38,2024-10-09
356,4449,40,21,45,15,2,51.55,2024-08-17
357,3081,25,50,41,9,1,143.13,2024-01-11
358,27,29,48,19,3,5,129.19,2024-03-30
359,2129,31,52,49,17,3,163.14,2024-05-27
360,3900,1,4,6,1,1,176.62,2024-07-13
361,3986,16,95,40,18,2,180.46,2024-06-17
362,2325,40,19,3,3,4,36.58,2024-09-14
363,2396,35,1,6,8,6,166.63,2024-07-15
364,1530,28,8,13,14,3,112.19,2024-05-23
365,1668,21,39,14,5,9,199.47,2024-04-23
366,1375,22,50,39,2,8,51.13,2024-09-25
367,180,22,59,20,17,3,183.83,2024-04-22
368,1873,45,42,21,16,2,51.52,2024-10-01
369,376,15,35,36,0,7,140.89,2024-05-06
370,3065,43,76,5,0,6,85.19,2024-08-16
371,9,7,37,16,16,2,169.97,2024-05-21
372,3428,18,20,6,11,8,73.71,2024-04-27
373,1502,24,57,12,9,4,193.74,2024-02-20
374,1336,35,46,21,9,0,61.66,2024-09-01
375,2085,38,10,5,8,1,142.1,2024-08-18
376,1351,17,43,23,0,8,48.84,2024-10-09
377,1840,16,69,25,2,4,79.62,2024-06-30
378,2392,15,2,8,13,7,140.54,2024-07-17
379,1511,47,39,37,0,3,154.26,2024-04-10
380,2215,32,92,5,18,7,64.34,2024-01-25
381,1890,24,27,15,17,1,115.43,2024-03-30
382,4602,13,51,39,10,4,15.1,2024-09-07
383,3855,48,93,19,14,9,98.22,2024-05-28
384,3446,38,33,37,6,7,97.95,2024-06-19
385,2303,22,26,10,4,9,10.68,2024-02-23
386,3928,38,45,3,8,3,172.27,2024-10-17
387,3759,19,85,21,11,3,199.14,2024-07-25
388,1700,34,91,24,12,9,88.56,2024-05-22
389,514,35,30,17,2,6,194.11,2024-03-18
390,1187,27,12,1,1,7,181.43,2024-05-15
391,2406,4,93,7,17,5,15.74,2024-08-02
392,2415,31,59,13,11,6,13.6,2024-07-18
393,68,33,63,27,4,2,162.66,2024-03-18
394,4962,31,44,3,7,1,121.23,2024-09-16
395,612,27,52,20,1,7,32.91,2024-10-15
396,3755,29,48,39,13,5,18.48,2024-08-12
397,3738,8,44,29,16,1,145.16,2024-06-11
398,3581,29,3,47,0,2,119.72,2024-08-19
399,1599,14,52,39,14,9,138.27,2024-08-28
400,4725,9,25,29,6,0,16.25,2024-04-15
401,4379,49,55,47,2,7,102.62,2024-01-09
402,3712,10,96,33,16,8,167.52,2024-05-13
403,4396,42,87,26,6,4,169.84,2024-06-16
404,4439,50,76,23,11,0,110.23,2024-10-23
405,169,30,48,43,11,0,90.09,2024-01-25
406,4119,27,97,47,9,3,36.77,2024-03-24
407,405,3,90,41,9,5,142.03,2024-03-07
408,2979,42,64,20,18,2,76.63,2024-09-14
409,1838,12,37,16,19,9,154.05,2024-03-23
410,3486,50,1,45,17,3,101.35,2024-07-29
411,3857,9,36,49,1,6,10.27,2024-04-27
412,2100,28,55,49,13,1,52.51,2024-08-12
413,3661,45,71,2,3,9,152.72,2024-09-13
414,2239,26,22,3,5,6,149.09,2024-01-06
415,4675,38,52,11,12,2,91.2,2024-02-25
416,1814,36,24,3,15,2,150.18,2024-05-19
417,1167,16,8,17,7,8,24.93,2024-09-04
418,1957,47,52,35,11,6,128.97,2024-05-03
419,4150,9,14,7,0,9,198.03,2024-04-30
420,2719,11,61,6,0,7,107.01,2024-09-11
421,4207,43,58,3,7,1,169.43,2024-03-31
422,1560,15,45,38,11,5,174.96,2024-08-23
423,3271,34,22,27,17,2,170.97,2024-11-05
424,3723,34,6,9,12,2,181.3,2024-10-30
425,905,14,41,44,3,6,156.6,2024-01-15
426,1328,6,4,21,17,5,158.68,2024-06-12
427,621,46,62,14,7,2,148.08,2024-08-18
428,616,28,3,5,13,0,114.31,2024-05-03
429,4238,18,67,34,15,5,105.23,2024-09-17
430,4734,26,20,37,18,9,198.68,2024-05-10
431,3480,45,33,19,9,1,190.71,2024-10-15
432,95,39,75,2,5,8,120.07,2024-07-05
433,4350,12,31,17,19,3,183.67,2024-10-10
434,3347,40,65,36,5,2,151.92,2024-09-03
435,3757,4,40,40,17,0,109.4,2024-04-28
436,4741,31,45,26,9,7,105.1,2024-08-31
437,4608,7,67,35,2,2,34.3,2024-10-18
438,4219,40,64,2,0,0,48.23,2024-04-04
439,4713,49,37,30,17,7,151.15,2024-09-16
440,1571,10,31,18,15,6,47.16,2024-03-01
441,4735,13,46,0,17,0,46.86,2024-06-24
442,1606,25,37,30,16,2,114.38,2024-06-16
443,3831,4,44,16,10,4,21.87,2024-08-16
444,2519,40,8,38,5,4,39.06,2024-10-17
445,899,28,35,10,1,5,32.25,2024-05-15
446,3151,28,41,15,8,2,24.77,2024-02-27
447,3875,22,27,34,18,7,15.62,2024-07-23
448,1732,41,92,6,13,1,136.13,2024-02-05
449,3365,17,46,40,1,2,25.57,2024-10-22
450,378,33,63,42,5,1,56.55,2024-04-05
451,126,9,85,1,9,4,158.03,2024-04-29
452,1595,27,5,37,12,8,144.82,2024-09-02
453,3969,23,12,21,17,2,27.42,2024-02-11
454,4654,7,36,37,17,5,172.59,2024-03-12
455,1653,3,75,44,18,5,30.62,2024-06-09
456,1667,47,17,29,1,5,74.32,2024-02-04
457,1068,33,25,5,11,9,129.81,2024-10-06
458,4127,22,20,18,14,6,74.52,2024-04-02
459,170,47,91,17,6,6,56.26,2024-06-02
460,3365,25,23,37,15,9,130.0,2024-09-27
461,2674,35,27,30,14,1,154.87,2024-05-14
462,1083,29,78,7,3,8,30.82,2024-08-30
463,518,2,18,7,15,1,24.14,2024-09-07
464,4137,5,70,3,4,0,45.74,2024-10-07
465,1794,44,95,13,0,2,96.65,2024-03-13
466,4608,23,89,16,4,7,50.71,2024-07-05
467,2537,21,12,36,2,7,48.54,2024-09-04
468,1690,24,32,15,4,8,122.04,2024-10-31
469,1479,7,59,0,0,2,45.52,2024-09-04
470,4566,43,51,22,2,9,170.86,2024-02-25
471,3982,35,87,28,2,7,43.61,2024-10-06
472,621,20,18,25,11,8,85.31,2024-07-14
473,92,6,8,1,5,1,90.44,2024-04-30
474,3529,21,99,45,16,0,182.25,2024-01-31
475,4788,42,90,36,18,1,10.3,2024-08-26
476,2562,36,78,48,15,0,139.34,2024-11-03
477,3028,30,44,22,2,5,32.19,2024-08-10
478,4808,25,90,32,14,4,17.29,2024-01-21
479,1467,47,24,37,12,4,191.0,2024-09-20
480,4408,7,51,43,5,8,24.83,2024-06-05
481,2182,27,13,19,16,1,156.26,2024-04-23
482,1231,48,4,20,14,6,170.48,2024-01-04
483,1491,31,67,35,15,3,199.96,2024-01-21
484,4949,50,42,19,17,6,184.66,2024-10-29
485,2089,14,91,8,5,8,51.99,2024-01-27
486,2941,29,15,21,17,5,162.27,2024-10-13
487,4480,45,59,0,15,7,95.6,2024-03-16
488,3514,13,4,25,18,3,172.23,2024-08-22
489,4483,18,27,33,4,6,105.51,2024-02-28
490,3148,33,74,48,12,3,187.39,2024-02-27
491,1621,20,58,30,17,8,161.65,2024-02-21
492,3320,6,64,26,11,1,49.94,2024-07-29
493,2799,33,92,43,18,9,67.6,2024-06-04
494,4996,42,59,44,4,8,198.12,2024-01-03
495,3812,11,46,28,14,2,100.19,2024-06-10
496,3180,14,35,7,7,9,123.3,2024-10-21
497,4175,18,74,40,6,1,118.49,2024-03-01
498,3773,49,42,1,16,8,31.13,2024-05-08
499,244,25,93,32,6,4,130.14,2024-01-24
500,2286,7,45,24,5,1,129.57,2024-08-18
501,1263,46,6,26,10,0,173.01,2024-05-29
502,1824,1,74,36,3,9,106.67,2024-09-20
503,529,47,85,39,14,4,172.13,2024-03-24
504,2539,34,83,38,2,5,119.24,2024-06-14
505,1989,30,60,18,11,5,66.1,2024-02-17
506,3446,16,65,6,14,6,73.84,2024-03-26
507,3907,49,52,48,0,5,101.27,2024-02-23
508,800,33,48,49,12,1,53.15,2024-05-01
509,471,19,16,9,12,6,90.65,2024-04-01
510,1281,25,82,16,2,3,180.51,2024-09-16
511,4657,19,69,40,14,1,30.5,2024-01-13
512,1876,33,23,28,0,6,85.47,2024-01-28
513,115,21,73,3,19,8,119.2,2024-06-14
514,2038,6,93,27,14,5,36.3,2024-09-09
515,2439,34,48,47,13,0,22.31,2024-08-08
516,2576,12,67,18,1,7,72.7,2024-10-30
517,2905,24,89,12,15,1,30.86,2024-03-29
518,2524,9,25,4,12,6,102.69,2024-03-26
519,4719,40,34,48,2,9,68.45,2024-08-27
520,2075,22,65,16,14,9,152.84,2024-04-27
521,151,48,48,45,1,6,139.08,2024-05-24
522,1789,49,38,31,2,9,55.73,2024-02-17
523,3218,34,32,49,6,8,82.05,2024-09-25
524,896,29,49,36,14,4,63.66,2024-06-06
525,2362,3,63,39,6,5,119.24,2024-03-03
526,2635,13,2,31,4,2,130.8,2024-06-26
527,3266,21,52,46,11,4,111.64,2024-03-22
528,4621,9,77,7,13,7,138.35,2024-11-01
529,514,5,49,43,4,4,123.69,2024-03-10
530,3729,30,75,20,3,5,56.14,2024-04-06
531,2948,12,81,34,7,1,43.95,2024-09-22
532,974,28,6,5,10,7,183.67,2024-09-02
533,1603,49,83,31,1,9,82.37,2024-01-20
534,4505,41,63,28,2,0,181.21,2024-10-03
535,1494,10,72,25,7,8,49.45,2024-05-01
536,2987,20,40,14,12,2,194.78,2024-07-11
537,3856,31,23,25,18,5,35.14,2024-05-25
538,4051,5,57,45,5,7,113.03,2024-04-13
539,1654,39,61,41,9,2,197.57,2024-03-08
540,3010,44,73,46,11,0,182.86,2024-10-09
